curpcajero,idsucursal,nombrecajero,paternocajero,maternocajero,fechanacimiento,estado,ciudad,colonia,calle,numero,codigopostal
OMNP627008LRTQUG16,S-00004,Natalina,Kleinhausen,Dickons,1976-12-17,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Union,07,52290
RDJQ961279OKCOFR60,S-00003,Gabi,Ianno,Billany,1976-10-07,Queretaro,Peñamiller,Peñamiller,Sunbrook,959,37475
VNOS661906QJVRYT35,S-00009,Laney,Dallinder,Syres,1978-01-27,Chihuahua,Juan Aldama,Juan Aldama,Grasskamp,78776,99950
BBQN024306JKAGOX13,S-00007,Carree,Hechlin,Stabler,1985-11-17,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Melby,865,73206
WZCN322106UWEKIS48,S-00001,Ronnie,Hayers,Keer,1978-12-03,Distrito Federal,N/A,Churubusco,Erie,058,23473
RSDJ027672CTAYYU93,S-00004,Cora,Eringey,Sanchis,1995-09-06,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Kipling,3073,67424
XKWU660209FSTULP92,S-00007,Jerrold,Whittier,Padbury,1980-05-10,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Acker,02,71298
DIOD237594CTJPCA93,S-00011,Ciel,Ewen,Castane,1994-04-30,Coahuila de Zaragoza,Lamadrid,Lamadrid,New Castle,9768,79289
LQTE348433OSAWYI57,S-00014,Jonis,Dana,Medland,1981-12-27,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Burrows,34,65885
OATI160060STATGY51,S-00001,Ethelda,Ellyatt,Calkin,1978-06-17,Distrito Federal,N/A,Churubusco,Porter,60,38038
PVWK664902IMHZUG02,S-00003,Cris,Ifill,Pimlett,1998-04-15,Queretaro,Peñamiller,Peñamiller,Gulseth,91,88079
DDUH823928HHHSBN62,S-00011,Sholom,Normanville,Wingeatt,1986-02-24,Coahuila de Zaragoza,Lamadrid,Lamadrid,Basil,264,98536
EIKI961663SXYPKD96,S-00014,Dody,Mariner,Sperski,1977-03-29,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Corry,46,25517
CJWQ106181JLVAHJ91,S-00008,Efrem,Culpin,Pierri,1976-10-12,Oaxaca,El Espinal,El Espinal,Bowman,81642,17360
ZXVI071991ICJTZC91,S-00002,Ash,Verralls,Wetter,1999-03-25,Aguascalientes,Palo Alto,Palo Alto,Donald,222,75962
LYMF543347HRCMJC16,S-00013,Vincenz,Nettleship,Dimeloe,1977-03-11,Campeche,Champoton,Champoton,Fuller,54752,98339
VJFZ294515GYARXP65,S-00008,Stanwood,Abilowitz,Costi,2004-11-15,Oaxaca,El Espinal,El Espinal,Forest Run,3,20878
HUMO639648JRFOLN73,S-00007,Bethina,Beau,St Louis,1986-04-28,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Marcy,33527,37997
YGJT455399CIHHCS96,S-00003,Terri-jo,Kaas,Grunnill,1981-04-08,Queretaro,Peñamiller,Peñamiller,Scofield,29303,11817
VKMR698507YMGHYP10,S-00007,Evangelia,Weddeburn - Scrimgeour,Kimpton,2009-02-16,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Nelson,54265,74914
ASJB310328ABSDVS82,S-00011,Brnaba,Gilburt,McWhan,1978-12-10,Coahuila de Zaragoza,Lamadrid,Lamadrid,Havey,97788,35962
JMVJ032507NEXZYC31,S-00007,Buffy,Dwerryhouse,Cram,2010-02-26,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Hoard,53273,57898
DITK800449BIESEZ45,S-00009,Fidela,Kier,Helliwell,1985-01-19,Chihuahua,Juan Aldama,Juan Aldama,Express,17210,48017
KMEZ304806XFCQRL12,S-00013,Hebert,Cartmael,Warner,2006-08-27,Campeche,Champoton,Champoton,Mockingbird,5192,39428
GXCE069314AQNXNU18,S-00013,Calhoun,Bartoszewski,Fosberry,1980-06-09,Campeche,Champoton,Champoton,Ludington,43136,92529
HIHO803296WHNSZZ78,S-00010,Esdras,Zanini,de Najera,2007-03-02,Guerrero,Copala,Copala,Shelley,894,49874
NWEI881913TPMDST64,S-00010,Teodoro,Shepherdson,Mayoral,1996-09-07,Guerrero,Copala,Copala,Moose,6240,61558
LCKQ621165GXZIBT89,S-00010,Quinn,Viggers,Headford,1982-06-20,Guerrero,Copala,Copala,Mcbride,01,35666
PVTS584647ODNAZF38,S-00015,Rod,Filippello,Kerkham,2005-02-12,Hidalgo,Pachuca de Soto,Pachuca de Soto,Fairfield,518,13938
NHMJ202468UIQKTU63,S-00013,Luther,Anger,Gozard,1980-09-04,Campeche,Champoton,Champoton,Northwestern,846,78956
TFFM456588FZUJHG99,S-00013,Erastus,Bettington,Parlot,1998-11-11,Campeche,Champoton,Champoton,Hazelcrest,5,40635
XFFK251027ZFJZTG44,S-00007,Angelique,Frankcombe,Waldron,1993-04-23,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Eggendart,50,40280
RPHQ595795IKXHNC24,S-00012,Ernestus,Pendall,Newvill,1979-03-06,Morelos,Cuernavaca,Cuernavaca,Center,44682,77483
VCFB313093ZHFWAM10,S-00006,Chanda,Donke,MacClancey,1993-09-27,Baja California,Tijuana,Tijuana,Sunfield,2501,59503
WJVL819663WJCGUF65,S-00011,Devi,Hamsher,Mushet,2007-02-09,Coahuila de Zaragoza,Lamadrid,Lamadrid,Pepper Wood,50324,39998
YYIA752301GFEHNX21,S-00012,Alexandra,Jambrozek,Woollcott,1981-06-22,Morelos,Cuernavaca,Cuernavaca,Westend,43,45852
XBEE038039CEPEMA17,S-00001,Augusto,Colclough,Caccavella,1982-07-24,Distrito Federal,N/A,Churubusco,Utah,89,45099
OKXI981404YDEHZW60,S-00013,Jone,Tissier,Decreuze,1989-07-13,Campeche,Champoton,Champoton,Sutherland,7,25173
LMEC809072DCUACV04,S-00013,Orlando,O'Reagan,Jerome,1990-09-10,Campeche,Champoton,Champoton,Forest Run,6,96901
FYMG395268GAMQCD09,S-00011,Freddi,McCrostie,Roakes,2008-09-14,Coahuila de Zaragoza,Lamadrid,Lamadrid,Springs,0,81557
YWPV219015UHCNXA89,S-00006,Rikki,MacFie,Peschet,2009-05-18,Baja California,Tijuana,Tijuana,Glendale,056,53449
IAVP287795VHXXDO21,S-00003,Jeremy,Gehring,Rewan,1985-04-04,Queretaro,Peñamiller,Peñamiller,Valley Edge,068,43840
KOEK802073ODDXOF40,S-00014,Gray,De Vaan,Bussetti,2003-05-21,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Sutherland,4,53466
DDIL379719WQWVBN65,S-00007,Rois,Dohrmann,Elias,1999-04-01,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Spohn,762,80243
XBRY085445YSQKLY38,S-00015,Carol-jean,Yepiskov,Hoston,1998-05-25,Hidalgo,Pachuca de Soto,Pachuca de Soto,Valley Edge,4,82363
