curpcliente,nombrecliente,paternocliente,maternocliente,fechanacimiento,estado,ciudad,colonia,calle,numero,codigopostal
WFMP034982PYNOBI40,Arron,Bleddon,Castellaccio,2000-12-26,Coahuila de Zaragoza,San Jorge Nuchita,San Jorge Nuchita,Pearson,816,67305
FGTQ803425ITVXYB37,Phillip,Croyden,Dulling,1966-05-21,Durango,Tetiz,Tetiz,Corry,30,70156
CEBU179346WUSIJS88,Maggi,Grimstead,Dict,1980-02-07,Baja California Sur,Carrillo Puerto,Tamarindo,Monica,19,03574
HJXI226097CKMPNP92,Mari,Goddman,Dugue,1974-08-19,Chiapas,Zapotitlan de Mendez,Zapotitlan de Mendez,Dunning,9,81296
TROF885895RDDZIV58,Bibby,Vescovini,Forri,1997-01-04,Jalisco,San Bartolo Coyotepec,San Bartolo Coyotepec,Shasta,12,01684
FZSE125040KWWWIZ13,Silas,Fogden,Alty,1980-03-26,Ciudad de México,Villagran,Villagran,Anthes,5,62911
QXGN666252FMAAKO50,Sherri,Gingles,Pennington,1965-01-10,Hidalgo,Linares,Linares,Marquette,4,12854
UMLT611895JBOYEY19,Antonietta,Corson,Zannelli,1994-05-19,Baja California,Azoyu,Azoyu,Canary,7066,71543
KOHL487942NKQDIX10,Querida,Rappport,Pickerin,1969-09-29,Aguascalientes,Naranjal,Naranjal,Lakewood Gardens,98,97989
COCS947124KPBFKH41,Thorn,Narramore,Gouly,1967-08-28,Colima,Xoxocotla,Xoxocotla,Karstens,45,64582
FULC325670LAXKQT04,Eirena,O'Nolan,Osgorby,1976-06-20,Baja California,Villa de Zaachila,Villa de Zaachila,Harbort,44224,14197
JJEV904136SDKMJI76,Jacklyn,Barens,Guterson,1995-07-30,Guanajuato,Santa Isabel Xiloxoxtla,Santa Isabel Xiloxoxtla,Reinke,3380,66571
EDQN911623IKAQQA92,Paul,Heinschke,De Zamudio,1965-06-30,Chiapas,Heroica Ciudad de Huajuapan de Leon,Heroica Ciudad de Huajuapan de Leon,Fremont,8,69298
HKTU945511PNLHLO20,Yuma,Degli Abbati,Dikes,1965-02-02,Durango,Hidalgo,Ciudad Hidalgo,Dakota,4,55853
WNGJ888074QXFPNG19,Dallis,Budik,Upstell,2001-07-06,Colima,Atempan,Atempan,Summit,0189,19538
IOGZ681631FNFZIU80,Korney,Stivani,Keese,1990-12-13,Guanajuato,Charcas,Charcas,Barby,91526,88354
WUEV453995YDZBGG00,Carmine,Mytton,MacWilliam,2003-02-07,Tabasco,Guerrero,Vicente Guerrero,Tennessee,419,11182
