curpencargado,idsucursal,nombreencargado,paternoencargado,maternoencargado,fechanacimiento,estado,ciudad,colonia,calle,numero,codigopostal
KUQN504726AYRFCB98,S-00004,Brose,Muzzillo,Vannacci,1971-09-28,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Santa Tuna,87,73187
HZAV788295EHFOQR10,S-00003,Michel,Sanbrooke,Blazey,1979-01-13,Queretaro,Peñamiller,Peñamiller,Zapata,10,83963
XAFG374687AXSTPB65,S-00007,Berna,Burkett,Olanda,2000-08-18,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
SHTM033553KQHRUR24,S-00004,Lona,Swanson,Cant,1999-05-04,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Santa Tuna,87,73187
MWQI873323UVASSN85,S-00012,Anne,Aindriu,Stears,1973-12-29,Morelos,Cuernavaca,Cuernavaca,Santo Domingo,7,07381
DCDS319030DWMYBF28,S-00002,Annadiana,Conre,Sibbe,1973-02-15,Aguascalientes,Palo Alto,Palo Alto,Aguasfrias,49,94040
XCDM628459EXGTQT30,S-00012,Arliene,Bart,Jowett,1977-10-11,Morelos,Cuernavaca,Cuernavaca,Santo Domingo,7,07381
QHKE412479TTSXXO61,S-00006,Robby,Chandlar,Thirlwell,1999-08-09,Baja California,Tijuana,Tijuana,Ignacio,52,49282
WFOZ937968SZUALN84,S-00009,Vinita,O'Hollegan,Doget,1991-10-17,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
VVZN239042BDPHHN49,S-00014,Ray,Bushen,Domerq,1972-10-26,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Xbox,123,59173
YBPN040796YCILMG54,S-00008,Haskell,Hutton,Croll,1995-07-04,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
DQEA513876YFRDQJ93,S-00004,Caril,McAvin,Dyer,1986-07-14,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Santa Tuna,87,73187
CBBI909540AIXCJC55,S-00012,Ardith,Trelease,Frankling,2001-01-19,Morelos,Cuernavaca,Cuernavaca,Santo Domingo,7,07381
SAGX279029RMOGCN20,S-00007,Adel,Scole,Roullier,1980-12-03,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
SNJV355203YZSJDE63,S-00007,Ronica,Lathwell,Arr,1972-08-09,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
XDFN684835YWBBWD91,S-00006,Orel,Fursey,L'Episcopio,1991-09-16,Baja California,Tijuana,Tijuana,Ignacio,52,49282
WQRU659502TWTZCA72,S-00011,Winifield,De-Ville,Shurrock,1981-06-26,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
WHFI521434QKHHQL32,S-00007,Jaimie,Juhruke,Pristnor,1987-10-27,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
ZVMP332873XIQLUH07,S-00007,Edna,Akast,Steenson,1990-12-26,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
KPJD428590OEXGFJ42,S-00007,Gleda,Heephy,Ciccoloi,1992-07-12,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
LSLV874269ZJIJIA74,S-00014,Jamal,Skates,Tinton,1972-09-26,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Xbox,123,59173
FWXC141909JLKOQI34,S-00005,Kelcy,Bolte,Branch,1996-04-15,Nuevo Leon,Pesqueria,Pesqueria,Trucha,13,02741
QUFX525497XYCGTT64,S-00010,Weylin,McPhelimey,Coopey,1976-11-12,Guerrero,Copala,Copala,5 de Mayo,63,69179
ZJTM753317BAZINA13,S-00013,Berti,Chapiro,Bodle,1997-12-17,Campeche,Champoton,Champoton,Shampoo,53,19183
EUUH088533ANQBPY98,S-00001,Modestine,Harback,Linskey,1996-07-11,Distrito Federal,N/A,Churubusco,Rafael Oliva,32,04120
PCXN934255RTKXNS77,S-00005,Harriet,Steadman,Feedham,2002-05-07,Nuevo Leon,Pesqueria,Pesqueria,Trucha,13,02741
RHPM629630BVQCYQ49,S-00012,Vladamir,Franchi,Warland,1997-01-10,Morelos,Cuernavaca,Cuernavaca,Santo Domingo,7,07381
BVFT930007QWJKUS29,S-00001,Robinia,Elphee,Magne,1989-07-22,Distrito Federal,N/A,Churubusco,Rafael Oliva,32,04120
OYQC252636PYUVCS79,S-00014,Neddie,Rolingson,Greber,1995-09-13,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Xbox,123,59173
JYPX351511QFDSJS80,S-00005,Zebulen,Eilhermann,Flipek,1985-12-18,Nuevo Leon,Pesqueria,Pesqueria,Trucha,13,02741
UQKG892615YFSJQT06,S-00004,Tony,Odney,Wragge,1974-10-11,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Santa Tuna,87,73187
JYZJ913055FPASRT75,S-00009,Mireille,Winters,Ransom,1993-06-08,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
MSRC748108EDQAOS24,S-00002,Xylina,Medley,Le Strange,1975-05-31,Aguascalientes,Palo Alto,Palo Alto,Aguasfrias,49,94040
YQTG399673QVREMZ14,S-00007,Georgina,Tuffin,Sivyour,1995-07-07,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
VGSZ738591EDTZGI95,S-00001,Sarena,Fosdyke,Thoumas,1981-08-04,Distrito Federal,N/A,Churubusco,Rafael Oliva,32,04120
NNZT394315LLOAMA01,S-00007,Antonietta,Becraft,Fareweather,1974-08-23,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
WUNN182291PUQXVR31,S-00006,Selie,Schuster,Themann,2003-10-03,Baja California,Tijuana,Tijuana,Ignacio,52,49282
OOUQ335666CNYNAN11,S-00004,Augy,Konrad,Chapier,1977-03-16,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Santa Tuna,87,73187
MVAI419627XHKJTM93,S-00010,Constantine,Artharg,Hamberstone,1992-01-20,Guerrero,Copala,Copala,5 de Mayo,63,69179
FIPX247114MJRXHT76,S-00007,Kinsley,Brislawn,Ely,1987-04-18,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
RMHP227877BYUIGD06,S-00006,Shauna,Gravy,Renzo,1972-12-22,Baja California,Tijuana,Tijuana,Ignacio,52,49282
PZZO661005AEDHAU47,S-00009,Terese,Lickorish,Bletso,1983-05-09,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
TLIK549397CDNREO23,S-00010,Angelika,Boutellier,Trevenu,1970-08-02,Guerrero,Copala,Copala,5 de Mayo,63,69179
VIRM014879ISMHXR97,S-00009,Carmelia,Dowber,Travis,1986-02-02,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
VKIZ108228HGXDEH49,S-00009,Hebert,Hacquel,Annon,1975-03-29,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
OSWP380840EZGLBR25,S-00008,Briana,Dispencer,Sheerman,2002-12-09,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
MJNK198174MUOOFY72,S-00005,Dixie,Boatswain,Scrannage,1977-01-30,Nuevo Leon,Pesqueria,Pesqueria,Trucha,13,02741
WZTF007240KNHGHA25,S-00013,Katinka,Ciciari,Wallsam,1995-07-16,Campeche,Champoton,Champoton,Shampoo,53,19183
QTXP485077DHVRJN66,S-00015,Bronson,Hatt,Ackhurst,1973-01-20,Hidalgo,Pachuca de Soto,Pachuca de Soto,Queso Cubano,19,21912
AJDS248951NFYFLB87,S-00007,Standford,Siggins,Seamon,1990-01-17,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
ZNBP789658PBTJPI48,S-00010,Inesita,Gerish,Giron,1986-03-24,Guerrero,Copala,Copala,5 de Mayo,63,69179
AUXF240024YKYGWL71,S-00015,Gerianne,Rayer,Howitt,2003-02-25,Hidalgo,Pachuca de Soto,Pachuca de Soto,Queso Cubano,19,21912
WXZV005327WMSHUM59,S-00014,Gabriello,Cripin,Scrivinor,2003-11-30,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Xbox,123,59173
QKKZ105270DCRBCX47,S-00011,Jemmie,Chappell,Spino,1985-08-25,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
EZGL716730SINTIX78,S-00006,Miles,Chishull,Sympson,1998-03-16,Baja California,Tijuana,Tijuana,Ignacio,52,49282
RWHE674870YZIBZC87,S-00006,Lilli,Cowpertwait,Jerrams,1997-07-25,Baja California,Tijuana,Tijuana,Ignacio,52,49282
LILJ359951FWNQLH68,S-00013,Marj,Dugall,Linne,2004-04-25,Campeche,Champoton,Champoton,Shampoo,53,19183
CQQB202815HYKHRZ84,S-00003,Pavel,Horsfield,Guyonneau,1984-07-25,Queretaro,Peñamiller,Peñamiller,Zapata,10,83963
UOFB225476LVZIAL64,S-00015,Hedvig,Paolini,Josovich,2000-03-01,Hidalgo,Pachuca de Soto,Pachuca de Soto,Queso Cubano,19,21912
DRIQ139040NEKVOG81,S-00004,Babette,Brislawn,Badini,1971-05-30,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Santa Tuna,87,73187
STAW435941OPRNUY77,S-00010,Holly,Turbefield,O'Fallone,1996-02-24,Guerrero,Copala,Copala,5 de Mayo,63,69179
ZQOH198237XUBJGO96,S-00005,Sal,Fere,Furbank,1988-09-09,Nuevo Leon,Pesqueria,Pesqueria,Trucha,13,02741
BUOS602585IHNUUB04,S-00003,Rey,Redmille,Entres,1997-10-03,Queretaro,Peñamiller,Peñamiller,Zapata,10,83963
VWQM254637LOSAWD68,S-00013,Beverie,Lanfere,Javes,1979-08-19,Campeche,Champoton,Champoton,Shampoo,53,19183
BZAP403210NREJDF73,S-00005,Kissie,Broderick,Jerzykiewicz,1971-04-28,Nuevo Leon,Pesqueria,Pesqueria,Trucha,13,02741
UJAG649382OKJGEK96,S-00012,Jami,Morrice,Lanchbery,1976-01-04,Morelos,Cuernavaca,Cuernavaca,Santo Domingo,7,07381
VXCF446938UBSWFD56,S-00007,Raddy,Batchelar,Sellers,2001-02-11,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
USNV661704POWCOS02,S-00002,Cecily,Topping,Wenman,1986-02-27,Aguascalientes,Palo Alto,Palo Alto,Aguasfrias,49,94040
PPWL956838FNAQJF54,S-00007,Kerr,Keeling,Schimon,1971-03-15,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
XXPN263841WTPDAD75,S-00010,Rayshell,Dowdney,Gerren,1981-12-04,Guerrero,Copala,Copala,5 de Mayo,63,69179
RVFJ420448CYGVPP75,S-00002,Blanch,Limpertz,McCroft,1997-07-06,Aguascalientes,Palo Alto,Palo Alto,Aguasfrias,49,94040
HDQC193207SSBFNN50,S-00004,Anatol,Readwing,Whitrod,1974-04-11,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Santa Tuna,87,73187
FRIM647701NAUCKO31,S-00015,Mariette,Gandar,Maldin,1993-04-08,Hidalgo,Pachuca de Soto,Pachuca de Soto,Queso Cubano,19,21912
AICN759872XKWDOU55,S-00002,Kare,Caswall,Crayker,1981-01-22,Aguascalientes,Palo Alto,Palo Alto,Aguasfrias,49,94040
SOXF771957TDHKBZ05,S-00001,Jason,Parmby,Hasley,1996-10-09,Distrito Federal,N/A,Churubusco,Rafael Oliva,32,04120
KWVA163650MSTCBP73,S-00012,Tisha,Egarr,Dwelly,1976-06-19,Morelos,Cuernavaca,Cuernavaca,Santo Domingo,7,07381
ALOB609661HKEROZ24,S-00005,Fionnula,Wisby,Ruffli,2002-09-08,Nuevo Leon,Pesqueria,Pesqueria,Trucha,13,02741
JDYZ467717WJQYPD75,S-00015,Stevy,Domniney,Nerval,1980-12-16,Hidalgo,Pachuca de Soto,Pachuca de Soto,Queso Cubano,19,21912
ERFS560693JAKJCY72,S-00010,Iver,Bernhardt,Weber,1975-07-29,Guerrero,Copala,Copala,5 de Mayo,63,69179
FGNV323440BIEIWE97,S-00015,Burgess,Heball,Shalloo,1973-03-15,Hidalgo,Pachuca de Soto,Pachuca de Soto,Queso Cubano,19,21912
VWUA023332KOLWSY18,S-00015,Nertie,Gadman,Dybell,1997-05-29,Hidalgo,Pachuca de Soto,Pachuca de Soto,Queso Cubano,19,21912
OTZF267651FCTZCO98,S-00004,Laurene,Hamill,Colomb,1991-10-17,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Santa Tuna,87,73187
KWQX977010JJENBL69,S-00011,Eddie,Romanet,Swatten,1973-07-11,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
CTCH293877YKIZWQ50,S-00009,Ansley,Wiffen,O'Neill,1983-09-04,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
MPTG373052STDYWS22,S-00009,Marianne,Glisenan,Blannin,2003-10-21,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
ZOIS774120VKETMP27,S-00010,Edsel,Keohane,Way,1980-04-09,Guerrero,Copala,Copala,5 de Mayo,63,69179
FBQN862556JKLKWL66,S-00003,Gabi,McMillan,Crocetti,1986-06-28,Queretaro,Peñamiller,Peñamiller,Zapata,10,83963
UAEO095311LSRKEV80,S-00012,Opaline,Darthe,Wanell,1999-06-12,Morelos,Cuernavaca,Cuernavaca,Santo Domingo,7,07381
RYDT164258OOJZTN62,S-00012,Jana,Goundry,McCanny,1980-05-14,Morelos,Cuernavaca,Cuernavaca,Santo Domingo,7,07381
WGUW817188CENJVT71,S-00010,Edi,Antonio,Hucks,1985-07-28,Guerrero,Copala,Copala,5 de Mayo,63,69179
KHBD108006VHWWRV16,S-00013,Garnette,Piatkow,Cookley,1982-09-16,Campeche,Champoton,Champoton,Shampoo,53,19183
KTWJ068696ZRSMQV72,S-00009,Bank,Sposito,Aldersey,1998-02-27,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
CPYY788345GRZUJM19,S-00008,Jody,Haldene,O'Cahill,1999-01-18,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
SJOE435625YQEFHG50,S-00011,Padget,Fenwick,Lanon,1993-04-20,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
FHXY736414KLOWIE85,S-00015,Mabel,Danelet,Davisson,1975-06-03,Hidalgo,Pachuca de Soto,Pachuca de Soto,Queso Cubano,19,21912
