curpgerente,idsucursal,nombregerente,paternogerente,maternogerente,fechanacimiento,estado,ciudad,colonia,calle,numero,codigopostal
VRVG675581ENIMSS87,S-00014,Taffy,Kirstein,Cadney,1986-01-25,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Cascade,168,04835
IXEY102113YQIBMP16,S-00003,Galina,de Bullion,Ivancevic,1975-05-06,Queretaro,Peñamiller,Peñamiller,Magdeline,047,72578
PECV871451TSBBQA08,S-00007,Pierce,Purcell,Dalzell,1992-10-01,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Lerdahl,967,97703
ASRR239013BHTRHS92,S-00006,Audrie,Ravilus,Bleackley,1970-07-18,Baja California,Tijuana,Tijuana,Talisman,486,88220
WWWC483890RKYLZC15,S-00012,Temple,Bloss,Pybworth,1986-01-13,Morelos,Cuernavaca,Cuernavaca,Thierer,825,05284
PBFF269432HXHYYK14,S-00008,Merola,Goodram,Johnsson,1989-06-14,Oaxaca,El Espinal,El Espinal,Westerfield,673,75715
QHQX565825NVKQXQ31,S-00012,Dorry,Talman,Silverton,1974-02-14,Morelos,Cuernavaca,Cuernavaca,Glacier Hill,644,67671
VLWY980421WLXKZE65,S-00003,Halley,Kuhndel,Devinn,1994-03-15,Queretaro,Peñamiller,Peñamiller,Porter,972,38785
PJCE105041TCUEKS78,S-00010,Stormi,Manson,Boodle,1997-10-21,Guerrero,Copala,Copala,Ridgeview,283,83073
XGGE353804LMXMRX38,S-00005,Holli,Fairbrother,Bridgett,1989-12-28,Nuevo Leon,Pesqueria,Pesqueria,Green,235,92284
LHWE285244UMTYLG67,S-00011,Adler,Itzcovichch,Linge,1992-04-08,Coahuila de Zaragoza,Lamadrid,Lamadrid,Lakewood Gardens,155,14747
VECS562824AZKRFP04,S-00010,Conny,Hansley,Rubroe,1990-03-14,Guerrero,Copala,Copala,Hayes,891,28604
XIHH881945FETZFE52,S-00002,Odell,Robertucci,Wakley,1978-04-29,Aguascalientes,Palo Alto,Palo Alto,Warrior,666,67344
LODV016597ZTHDVA61,S-00006,Del,Brewis,Tabard,1992-04-19,Baja California,Tijuana,Tijuana,Sheridan,340,68578
FOTS486301NQJOFS82,S-00009,Jeanelle,Turfrey,Denholm,1993-01-13,Chihuahua,Juan Aldama,Juan Aldama,Summer Ridge,986,77232
MRAW870239QYRSHS28,S-00014,Darelle,Duplan,Torres,1989-10-18,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Northridge,794,58479
UVOK091254EOYMDN86,S-00011,Clareta,Hodges,Ebbetts,1977-01-07,Coahuila de Zaragoza,Lamadrid,Lamadrid,Huxley,765,58197
OCPQ289107NCEHMA10,S-00011,Joanie,Vanyutin,Creeboe,1987-01-23,Coahuila de Zaragoza,Lamadrid,Lamadrid,Pawling,376,66748
RXRA180002UKERLQ87,S-00009,Peggie,Botte,Haddon,1987-12-23,Chihuahua,Juan Aldama,Juan Aldama,Gateway,654,33658
REZP299427SSTDYL62,S-00004,Dominica,Easey,Seilmann,1995-11-19,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Pankratz,317,11395
HRPL409103NUWMXM40,S-00002,Judd,Tatnell,Reely,1981-07-31,Aguascalientes,Palo Alto,Palo Alto,Moose,131,74513
AYCS977375CAQYGQ76,S-00001,Dianemarie,Redon,Berggren,1985-09-12,Distrito Federal,N/A,Churubusco,Maple,088,32889
QRMA991894DSNKHS98,S-00009,Annetta,Dilloway,Middlehurst,1987-09-03,Chihuahua,Juan Aldama,Juan Aldama,Cardinal,030,53801
CIEL101179ZLVBPE99,S-00011,Georgeanna,Quinnet,Sadat,1974-09-08,Coahuila de Zaragoza,Lamadrid,Lamadrid,Fair Oaks,760,85163
AHWT233287IZRQRG89,S-00012,Gilberto,Iglesiaz,Ruilton,1986-05-23,Morelos,Cuernavaca,Cuernavaca,Lakeland,362,75622
HGFS008612QTZUPJ02,S-00012,Alberta,Brymner,Skupinski,1996-12-03,Morelos,Cuernavaca,Cuernavaca,Northwestern,165,14213
KBTG292006HSQQTP68,S-00008,Fancy,Membry,Corston,1981-10-21,Oaxaca,El Espinal,El Espinal,Pepper Wood,452,76992
DWQY329903HNVZTZ95,S-00013,Kaylil,Prestney,Standbridge,1972-06-10,Campeche,Champoton,Champoton,Linden,917,42782
