curpcliente,telefono
WFMP034982PYNOBI40,5596896306
FGTQ803425ITVXYB37,0790479771
CEBU179346WUSIJS88,5971656295
HJXI226097CKMPNP92,9607630158
TROF885895RDDZIV58,0182703394
FZSE125040KWWWIZ13,9952094059
QXGN666252FMAAKO50,7763977500
UMLT611895JBOYEY19,8445691251
KOHL487942NKQDIX10,1493810784
COCS947124KPBFKH41,2062151569
FULC325670LAXKQT04,1462074131
JJEV904136SDKMJI76,3694604483
EDQN911623IKAQQA92,1785931939
HKTU945511PNLHLO20,3282460747
WNGJ888074QXFPNG19,3399690899
IOGZ681631FNFZIU80,9760106718
WUEV453995YDZBGG00,8998743136
UINR801499XPWAGR87,2489559019
GVSI276460ENIROK50,6761193100
FUMO700770MDOMRY56,9516670471
BRSX243678KZLTJL87,4910082150
RARJ686456NLEAVV90,1379173262
FVAV192769BYVWKJ89,4365605720
BYVV248717DHHCUJ93,4731583292
XFWJ360577QGOPDP80,5653023878
EQNA038377WMYDYF51,6677033544
HWUW674023WSCCTF98,8893772666
RITL466630QWQJMN92,4038552525
WQSX397231XWZBEZ74,2897409480
UUZZ616083BZFFTE95,5770392073
NGVF889314ROVUEZ50,7104232600
VMWJ348930KXGWKK25,3242535293
CTRD476041MDMWOE86,5217374286
DNAQ253016PTHCVV48,7740281796
UJQD605866HCKWYD40,1600208448
YFMB168100ZFBZIF10,7113716347
UPDS567782CRQYZM84,7341925877
ILGM835173FXPRUO47,4815670065
ADRR353200BAKIIQ51,6211490382
XPJF875054KLKUQE21,0546839513
CSAZ459334BGICVI44,0089616514
SVUW479103IEVSBQ49,8834923780
BXEN294651IEJALR07,6182805122
JFGA569357KONTJA57,5572418275
ZLKA348343NNLUWL31,3955965366
ELKX558028LCJHWV15,0563389393
DWVS749143ZCRPXY18,4955079943
MBOM579126NPYVOC19,2608366313
LCNG670735WAJZVZ64,1768656313
RHGR272850SATVBO61,0738300150
XEKT797515UEJEDL22,8686185941
TBJD889098QNVRRN59,8490952147
YMPH344056TLFHSJ33,4952161641
HXYZ940493BPTCHZ04,8585733714
HKZX466101YKDUOY29,5872393985
JUEB848973OJGUJP78,0895702297
SELS240194CHOMCG50,6720738838
ZRDX626212URRYFF40,3199242476
IDYW704798KJGMKZ94,4489921815
UMMN483288SCHSDR22,7403306721
CEMI896161VBCBKS36,2725844265
SIGE635697AHWFVS37,3577738011
YTWZ756950TKIZGE93,3539764058
ZSBI953513GELLBX94,1078106987
RUMN898170WYYAXY37,1477093331
YNIE212987LFMSNI57,2074477948
DQRQ851418SKXBLU13,4925768991
TRPD439334XUREAD36,2061445687
YICW106361OQFYFV00,7235841298
MCAJ269167FXQPBC37,1882146792
ZJHE857740TQENCE55,4365519031
CFKD564201RHSWSS09,3604201891
JZHQ815504ZNHFTD22,5369868741
LCPV927636DQRVCO90,1465405727
EGIZ067456ITQURP05,8695363069
UFJW500014QZDABK28,5382214203
RWTU558822VRZQKM65,3067499211
VOVA624568NDRABR58,4859549186
FUVT547645SQMIQP55,3663080415
SPLC041662VSFTQV69,5802077553
YYYK458377IVUWHO95,6893721611
MKQT192463GCUVGP54,1562894393
UNKQ444472ORUWAS59,5368598326
UAWR779408CAZZHZ07,1927712428
UOLM111400VNJITQ59,5189936993
GEED631752EFHGMY09,8421666607
ECNP349075NXIETH83,2125590643
HSDS227650FTJQQG00,5466857887
PYPJ361471YVRXDQ54,9478999765
VXSC567985NTNLQF95,3262968660
YGRO533585GAHFKA07,4716364327
YSLB639759TVFHCH40,7345338021
GHQR595516PZRSTK47,8623767285
VSXR216850FTGUEU52,6556176014
NBNT707058AHBURA17,0032895399
PZFZ079477VNSWEA68,9431579418
GJDK696064OMPCUU28,6562977816
IKRL208546DUDUWO36,7234300902
MZCD600724NEFFCJ13,8276209385
POPX216314ULTXOQ50,9200798333
AOKX425544WCKKGW35,8506322949
LNXW591055MFXSET57,0520656342
OOQQ730062SWQQEF49,0316730836
IPGT813715PJNBIF39,0758457806
SCCW374578PEZOSO84,7568060853
GDYT777454AXPIFK25,7976211516
OQJO383579TAFZRH90,9168699144
EDVY007119UDYRYJ81,0678466295
WYMN412328MPFXQG08,6616066369
OSJO989989ZOCTZZ19,3827282041
FCUS149777OAAGWZ64,6006716885
VWKN509056NFJLDW79,3556643752
GEDJ663356HMKNWN03,2154565209
WRVB515352SSLGYT67,4858582596
RTNH987553IDEZRC05,3345161155
BIDP952583RJVJVO76,7312574893
VXZZ339724XUAVMZ93,0061594106
JNNU998426IUVGCS92,1380282765
NPFS647686LVJWEX65,4691356251
AAWW217548LHAHAB25,6914775389
HOPN247924CECOJI52,2482180472
IASS382268BJXEPV65,6287708378
HHMJ009866ZNYDNO84,1808506309
ZBKI059099PGPZXZ12,2051267830
MSJM195696LCTXAQ48,4415179521
NUCN203273FDNRBJ35,1777350353
QLTZ271529ZMOPCX15,3790706795
PEWV902958YVJQVN74,2443888647
NOCQ713810LSCDZK85,8611490856
QCHR002077SOLCQJ99,6051653534
DDTX960249DPRXRU60,8865810521
PZPW857909ICXIMC11,4030572338
LFVH001514PCCCXN26,3720318604
VFXM407099KNYBLH77,8540843995
BMPR174221TVKYGS23,6228607113
GCVH890981ONBSTY06,8780860512
IYBU110752SHANIV94,6125323973
FZON949286CBVYRM86,8497583183
IDEM836736AZUTET66,3630312621
YSEC271726YPGGDB91,3713920704
UPML211658DGCFWR78,7433439864
HCOY695423RRFVWO22,9586316080
FSNJ083893YBCIUH88,6929179010
XPLK628978POWTQE18,8332624758
SVJS663677WNCHIH32,0285149533
RNWF236231SNUKYQ04,1082685180
FLGU590154VCSGUX04,9453445071
ODSN311022EMCZWV72,2699040506
KUPU140442EFGPHR27,3041352464
YWDD247736ZGFEWP82,9869859852
XJRE762136IOIDDO90,1178874131
BUVP824722QSPRJZ22,6329099602
YHTN283263LMVIZV66,1359279882
VTSK153466XJJUHP58,2211764025
DRWG571818UBXLIC06,2005949651
YHYC139887NFCOGQ14,8779221895
XEXL457395TYHGBC90,1669851405
RJHJ136545ECPLVO78,5964044892
XBCC157738DWLGXP47,3396742628
RAVH788894DBNQTK67,3458093918
ONVG993237YAIXZD64,1214411596
QXDW751823EWDPBK45,1986956103
GVLZ177935NGIQIN17,3785207749
HQXR487886OCVCAS51,4052221875
UWCW933073NUVJKG02,7358468081
QZVR926802KMKXGX03,0938079820
UKWB095513EPNJEH71,7480622239
HWUD829292LZQTRG72,8069402095
XOEV845099FJMDRD61,4195605584
PSFF744499FQLFMP64,3167964448
WPQR848348ROONAG04,1879768195
RPWN172476UBRYWQ06,5070830587
LFHE720462LWZRMA08,6747016362
OXJE760909MFKYFO42,0186909131
BWYU071764XJBRWP64,5395992415
SOKD983333KICHNC58,8786917439
KTVT102380VZYFSH13,9357997481
RCSD542453LAZTON41,9177292051
MJXF688435OZDCPE96,4754613008
CRHL138760BBTFXX83,2292595562
RWRW327816PYWRVO43,7831111566
XOLS405428MYMGSP55,7738715981
RRDU867521QAKTNX61,0038900988
GFBZ923170TAYTKV71,5922177068
ZTLI807807TQPCEB21,6755673166
NDFN120203DRLKCE65,7801328060
ZCVC467401ZSCOIF83,1952636992
LNVQ496291XVDHQB26,9212333546
GSPD736087PYGOUG15,8908935258
UTKR410495DDTKCI57,1036859454
UIHF665966FTEYIW60,8046885203
CEFI535048GZLFET38,1232456129
NSMW349083THLBHS58,7325536029
DSTU223566YWEEYR66,8590818167
DAPZ944557JRXINW50,6571623983
INEE369831UNPKPK43,5359839944
HZHR613866UXFHNI50,7683092961
QNMK254191RCTUXX86,4676686320
CNSP145214SWLZIV09,7981214992
DHYW543406CSUZBQ79,1728980888
HPCT293903HMVOZM39,8457399518
QACS825793IOVZFM61,4171232555
BZNJ895514WMLEOO95,9981983559
KQMD182840FXXAHJ32,6691082150
KLBR817673LDOVIH46,2741777249
BQMN369042DJQVAE43,7673107164
RPWA083756EDPBZN92,1284052671
ZQAM491580ZSTVWL31,5632574148
